source,target,weight
梅西,巴黎圣日耳曼,1
迪马利亚,尤文图斯,1
劳塔罗,国际米兰,1
恩佐,本菲卡,1
阿尔瓦雷斯,曼城,1
马丁内斯,阿斯顿维拉,1
姆巴佩,巴黎圣日耳曼,1
格列兹曼,马德里竞技,1
吉鲁,AC米兰,1
琼阿梅尼,皇家马德里,1
特奥,AC米兰,1
于帕梅卡诺,拜仁慕尼黑,1
莫德里奇,皇家马德里,1
佩里西奇,托特纳姆热刺,1
格瓦尔迪奥尔,莱比锡,1
利瓦科维奇,萨格勒布迪纳摩,1
布罗佐维奇,国际米兰,1
科瓦西奇,切尔西,1
贝林厄姆,多特蒙德,1
萨卡,阿森纳,1
凯恩,托特纳姆热刺,1
福登,曼城,1
赖斯,西汉姆联,1
斯通斯,曼城,1
布努,塞维利亚,1
齐耶赫,切尔西,1
恩内斯里,塞维利亚,1
阿姆拉巴特,佛罗伦萨,1
马兹拉维,拜仁慕尼黑,1
阿什拉夫,巴黎圣日耳曼,1
奥纳纳,国际米兰,1
德保罗,马德里竞技,1
麦卡利斯特,布莱顿,1
范戴克,利物浦,1
加克波,埃因霍温,1
德容,巴塞罗那,1
阿克,曼城,1
诺珀特,海伦芬,1
内马尔,巴黎圣日耳曼,1
维尼修斯,皇家马德里,1
罗德里戈,皇家马德里,1
卡塞米罗,曼联,1
理查利森,托特纳姆热刺,1
安东尼,曼联,1
阿尔维斯,美洲狮,1
